Supplementary Data to
NGRIP Members, Nature 431, 147 - 151 (09 September 2004); doi:10.1038/nature02805


High resolution Climate Record of the Northern Hemisphere back into the last Interglacial Period

North Greenland Ice-Core Project (NorthGRIP) Members

In this text file we list the NGRIP oxygen 18 values as 50 year mean values
using the same preliminary age scale as in Figure 2c of the accompanying paper.
Data was measured against VSMOW at the Niels Bohr Institute for Astronomy, 
Physics and Geophysics, Department of Geophysics, University of Copenhagen.  
Accuracy of individual measurements is 0.07 %. 
The initial isotope data series is based on 5 cm continuous sampling from
surface to bottom of the core, or 61100 individual measurements.
Improved dating of the NGRIP core and additional data will be posted on 
our web site http://www.glaciology.gfy.ku.dk/ngrip/index_eng.htm when 
it becomes available.

Copenhagen June 6, 2004.
Sigfus J. Johnsen <sigfus@gfy.ku.dk>.


ss09sea age       Del 18O
years BP 2000	permille
  9900.000	  -35.13
  9900.000	  -34.93
  9950.000	  -34.93
  9950.000	  -35.29
 10000.000	  -35.29
 10000.000	  -35.25
 10050.000	  -35.25
 10050.000	  -35.24
 10100.000	  -35.24
 10100.000	  -35.38
 10150.000	  -35.38
 10150.000	  -36.27
 10200.000	  -36.27
 10200.000	  -35.73
 10250.000	  -35.73
 10250.000	  -36.18
 10300.000	  -36.18
 10300.000	  -36.22
 10350.000	  -36.22
 10350.000	  -36.09
 10400.000	  -36.09
 10400.000	  -35.70
 10450.000	  -35.70
 10450.000	  -35.90
 10500.000	  -35.90
 10500.000	  -36.30
 10550.000	  -36.30
 10550.000	  -35.62
 10600.000	  -35.62
 10600.000	  -36.17
 10650.000	  -36.17
 10650.000	  -36.31
 10700.000	  -36.31
 10700.000	  -36.54
 10750.000	  -36.54
 10750.000	  -37.36
 10800.000	  -37.36
 10800.000	  -37.23
 10850.000	  -37.23
 10850.000	  -36.99
 10900.000	  -36.99
 10900.000	  -36.70
 10950.000	  -36.70
 10950.000	  -36.78
 11000.000	  -36.78
 11000.000	  -36.73
 11050.000	  -36.73
 11050.000	  -37.48
 11100.000	  -37.48
 11100.000	  -36.51
 11150.000	  -36.51
 11150.000	  -36.96
 11200.000	  -36.96
 11200.000	  -37.44
 11250.000	  -37.44
 11250.000	  -37.98
 11300.000	  -37.98
 11300.000	  -38.03
 11350.000	  -38.03
 11350.000	  -37.13
 11400.000	  -37.13
 11400.000	  -36.77
 11450.000	  -36.77
 11450.000	  -36.70
 11500.000	  -36.70
 11500.000	  -38.99
 11550.000	  -38.99
 11550.000	  -40.22
 11600.000	  -40.22
 11600.000	  -40.22
 11650.000	  -40.22
 11650.000	  -39.71
 11700.000	  -39.71
 11700.000	  -40.84
 11750.000	  -40.84
 11750.000	  -41.04
 11800.000	  -41.04
 11800.000	  -40.41
 11850.000	  -40.41
 11850.000	  -39.95
 11900.000	  -39.95
 11900.000	  -41.22
 11950.000	  -41.22
 11950.000	  -41.38
 12000.000	  -41.38
 12000.000	  -40.63
 12050.000	  -40.63
 12050.000	  -40.39
 12100.000	  -40.39
 12100.000	  -40.76
 12150.000	  -40.76
 12150.000	  -41.37
 12200.000	  -41.37
 12200.000	  -40.97
 12250.000	  -40.97
 12250.000	  -41.06
 12300.000	  -41.06
 12300.000	  -40.54
 12350.000	  -40.54
 12350.000	  -40.82
 12400.000	  -40.82
 12400.000	  -41.67
 12450.000	  -41.67
 12450.000	  -41.11
 12500.000	  -41.11
 12500.000	  -42.21
 12550.000	  -42.21
 12550.000	  -40.86
 12600.000	  -40.86
 12600.000	  -40.18
 12650.000	  -40.18
 12650.000	  -39.53
 12700.000	  -39.53
 12700.000	  -39.03
 12750.000	  -39.03
 12750.000	  -38.76
 12800.000	  -38.76
 12800.000	  -39.38
 12850.000	  -39.38
 12850.000	  -39.88
 12900.000	  -39.88
 12900.000	  -40.07
 12950.000	  -40.07
 12950.000	  -41.07
 13000.000	  -41.07
 13000.000	  -40.05
 13050.000	  -40.05
 13050.000	  -40.20
 13100.000	  -40.20
 13100.000	  -39.07
 13150.000	  -39.07
 13150.000	  -39.19
 13200.000	  -39.19
 13200.000	  -38.57
 13250.000	  -38.57
 13250.000	  -38.44
 13300.000	  -38.44
 13300.000	  -38.61
 13350.000	  -38.61
 13350.000	  -38.01
 13400.000	  -38.01
 13400.000	  -38.52
 13450.000	  -38.52
 13450.000	  -39.25
 13500.000	  -39.25
 13500.000	  -39.77
 13550.000	  -39.77
 13550.000	  -38.74
 13600.000	  -38.74
 13600.000	  -38.25
 13650.000	  -38.25
 13650.000	  -39.08
 13700.000	  -39.08
 13700.000	  -38.38
 13750.000	  -38.38
 13750.000	  -38.08
 13800.000	  -38.08
 13800.000	  -38.39
 13850.000	  -38.39
 13850.000	  -39.46
 13900.000	  -39.46
 13900.000	  -40.11
 13950.000	  -40.11
 13950.000	  -39.71
 14000.000	  -39.71
 14000.000	  -38.25
 14050.000	  -38.25
 14050.000	  -38.14
 14100.000	  -38.14
 14100.000	  -37.89
 14150.000	  -37.89
 14150.000	  -37.59
 14200.000	  -37.59
 14200.000	  -37.21
 14250.000	  -37.21
 14250.000	  -37.17
 14300.000	  -37.17
 14300.000	  -36.95
 14350.000	  -36.95
 14350.000	  -37.29
 14400.000	  -37.29
 14400.000	  -36.26
 14450.000	  -36.26
 14450.000	  -36.25
 14500.000	  -36.25
 14500.000	  -36.40
 14550.000	  -36.40
 14550.000	  -37.47
 14600.000	  -37.47
 14600.000	  -40.06
 14650.000	  -40.06
 14650.000	  -41.75
 14700.000	  -41.75
 14700.000	  -40.58
 14750.000	  -40.58
 14750.000	  -41.60
 14800.000	  -41.60
 14800.000	  -41.13
 14850.000	  -41.13
 14850.000	  -41.56
 14900.000	  -41.56
 14900.000	  -42.31
 14950.000	  -42.31
 14950.000	  -42.03
 15000.000	  -42.03
 15000.000	  -42.06
 15050.000	  -42.06
 15050.000	  -42.01
 15100.000	  -42.01
 15100.000	  -42.23
 15150.000	  -42.23
 15150.000	  -42.55
 15200.000	  -42.55
 15200.000	  -40.78
 15250.000	  -40.78
 15250.000	  -42.38
 15300.000	  -42.38
 15300.000	  -42.00
 15350.000	  -42.00
 15350.000	  -42.55
 15400.000	  -42.55
 15400.000	  -43.48
 15450.000	  -43.48
 15450.000	  -42.76
 15500.000	  -42.76
 15500.000	  -41.94
 15550.000	  -41.94
 15550.000	  -43.63
 15600.000	  -43.63
 15600.000	  -43.29
 15650.000	  -43.29
 15650.000	  -41.41
 15700.000	  -41.41
 15700.000	  -41.92
 15750.000	  -41.92
 15750.000	  -41.69
 15800.000	  -41.69
 15800.000	  -41.88
 15850.000	  -41.88
 15850.000	  -41.53
 15900.000	  -41.53
 15900.000	  -43.56
 15950.000	  -43.56
 15950.000	  -42.18
 16000.000	  -42.18
 16000.000	  -42.41
 16050.000	  -42.41
 16050.000	  -41.45
 16100.000	  -41.45
 16100.000	  -42.01
 16150.000	  -42.01
 16150.000	  -41.61
 16200.000	  -41.61
 16200.000	  -41.68
 16250.000	  -41.68
 16250.000	  -40.80
 16300.000	  -40.80
 16300.000	  -41.00
 16350.000	  -41.00
 16350.000	  -41.82
 16400.000	  -41.82
 16400.000	  -41.36
 16450.000	  -41.36
 16450.000	  -41.17
 16500.000	  -41.17
 16500.000	  -40.44
 16550.000	  -40.44
 16550.000	  -40.31
 16600.000	  -40.31
 16600.000	  -41.90
 16650.000	  -41.90
 16650.000	  -41.28
 16700.000	  -41.28
 16700.000	  -40.42
 16750.000	  -40.42
 16750.000	  -40.42
 16800.000	  -40.42
 16800.000	  -40.45
 16850.000	  -40.45
 16850.000	  -40.99
 16900.000	  -40.99
 16900.000	  -40.76
 16950.000	  -40.76
 16950.000	  -41.02
 17000.000	  -41.02
 17000.000	  -42.02
 17050.000	  -42.02
 17050.000	  -41.14
 17100.000	  -41.14
 17100.000	  -40.27
 17150.000	  -40.27
 17150.000	  -40.18
 17200.000	  -40.18
 17200.000	  -41.44
 17250.000	  -41.44
 17250.000	  -40.66
 17300.000	  -40.66
 17300.000	  -41.15
 17350.000	  -41.15
 17350.000	  -41.88
 17400.000	  -41.88
 17400.000	  -42.16
 17450.000	  -42.16
 17450.000	  -42.60
 17500.000	  -42.60
 17500.000	  -41.80
 17550.000	  -41.80
 17550.000	  -42.53
 17600.000	  -42.53
 17600.000	  -41.83
 17650.000	  -41.83
 17650.000	  -41.35
 17700.000	  -41.35
 17700.000	  -42.07
 17750.000	  -42.07
 17750.000	  -42.47
 17800.000	  -42.47
 17800.000	  -42.63
 17850.000	  -42.63
 17850.000	  -42.35
 17900.000	  -42.35
 17900.000	  -42.25
 17950.000	  -42.25
 17950.000	  -41.69
 18000.000	  -41.69
 18000.000	  -40.73
 18050.000	  -40.73
 18050.000	  -41.66
 18100.000	  -41.66
 18100.000	  -40.93
 18150.000	  -40.93
 18150.000	  -41.45
 18200.000	  -41.45
 18200.000	  -42.09
 18250.000	  -42.09
 18250.000	  -41.28
 18300.000	  -41.28
 18300.000	  -41.04
 18350.000	  -41.04
 18350.000	  -41.89
 18400.000	  -41.89
 18400.000	  -41.32
 18450.000	  -41.32
 18450.000	  -42.19
 18500.000	  -42.19
 18500.000	  -41.71
 18550.000	  -41.71
 18550.000	  -42.34
 18600.000	  -42.34
 18600.000	  -42.48
 18650.000	  -42.48
 18650.000	  -42.31
 18700.000	  -42.31
 18700.000	  -41.37
 18750.000	  -41.37
 18750.000	  -42.18
 18800.000	  -42.18
 18800.000	  -42.82
 18850.000	  -42.82
 18850.000	  -41.26
 18900.000	  -41.26
 18900.000	  -41.97
 18950.000	  -41.97
 18950.000	  -41.52
 19000.000	  -41.52
 19000.000	  -41.13
 19050.000	  -41.13
 19050.000	  -41.05
 19100.000	  -41.05
 19100.000	  -41.36
 19150.000	  -41.36
 19150.000	  -42.82
 19200.000	  -42.82
 19200.000	  -40.88
 19250.000	  -40.88
 19250.000	  -40.98
 19300.000	  -40.98
 19300.000	  -42.60
 19350.000	  -42.60
 19350.000	  -41.77
 19400.000	  -41.77
 19400.000	  -42.57
 19450.000	  -42.57
 19450.000	  -42.18
 19500.000	  -42.18
 19500.000	  -42.22
 19550.000	  -42.22
 19550.000	  -41.73
 19600.000	  -41.73
 19600.000	  -42.29
 19650.000	  -42.29
 19650.000	  -42.01
 19700.000	  -42.01
 19700.000	  -42.90
 19750.000	  -42.90
 19750.000	  -43.20
 19800.000	  -43.20
 19800.000	  -43.34
 19850.000	  -43.34
 19850.000	  -42.38
 19900.000	  -42.38
 19900.000	  -42.76
 19950.000	  -42.76
 19950.000	  -43.87
 20000.000	  -43.87
 20000.000	  -42.03
 20050.000	  -42.03
 20050.000	  -41.01
 20100.000	  -41.01
 20100.000	  -41.79
 20150.000	  -41.79
 20150.000	  -42.28
 20200.000	  -42.28
 20200.000	  -42.11
 20250.000	  -42.11
 20250.000	  -42.70
 20300.000	  -42.70
 20300.000	  -42.49
 20350.000	  -42.49
 20350.000	  -42.75
 20400.000	  -42.75
 20400.000	  -44.28
 20450.000	  -44.28
 20450.000	  -42.61
 20500.000	  -42.61
 20500.000	  -43.15
 20550.000	  -43.15
 20550.000	  -42.06
 20600.000	  -42.06
 20600.000	  -42.96
 20650.000	  -42.96
 20650.000	  -43.29
 20700.000	  -43.29
 20700.000	  -42.14
 20750.000	  -42.14
 20750.000	  -42.41
 20800.000	  -42.41
 20800.000	  -42.77
 20850.000	  -42.77
 20850.000	  -42.07
 20900.000	  -42.07
 20900.000	  -43.05
 20950.000	  -43.05
 20950.000	  -42.14
 21000.000	  -42.14
 21000.000	  -41.71
 21050.000	  -41.71
 21050.000	  -42.65
 21100.000	  -42.65
 21100.000	  -42.95
 21150.000	  -42.95
 21150.000	  -43.75
 21200.000	  -43.75
 21200.000	  -42.91
 21250.000	  -42.91
 21250.000	  -43.28
 21300.000	  -43.28
 21300.000	  -42.36
 21350.000	  -42.36
 21350.000	  -41.85
 21400.000	  -41.85
 21400.000	  -42.83
 21450.000	  -42.83
 21450.000	  -41.87
 21500.000	  -41.87
 21500.000	  -42.03
 21550.000	  -42.03
 21550.000	  -41.59
 21600.000	  -41.59
 21600.000	  -41.56
 21650.000	  -41.56
 21650.000	  -42.14
 21700.000	  -42.14
 21700.000	  -42.34
 21750.000	  -42.34
 21750.000	  -42.90
 21800.000	  -42.90
 21800.000	  -42.40
 21850.000	  -42.40
 21850.000	  -42.31
 21900.000	  -42.31
 21900.000	  -43.01
 21950.000	  -43.01
 21950.000	  -42.24
 22000.000	  -42.24
 22000.000	  -42.38
 22050.000	  -42.38
 22050.000	  -43.48
 22100.000	  -43.48
 22100.000	  -41.22
 22150.000	  -41.22
 22150.000	  -41.20
 22200.000	  -41.20
 22200.000	  -42.49
 22250.000	  -42.49
 22250.000	  -41.87
 22300.000	  -41.87
 22300.000	  -41.18
 22350.000	  -41.18
 22350.000	  -42.27
 22400.000	  -42.27
 22400.000	  -42.11
 22450.000	  -42.11
 22450.000	  -42.76
 22500.000	  -42.76
 22500.000	  -42.47
 22550.000	  -42.47
 22550.000	  -41.76
 22600.000	  -41.76
 22600.000	  -41.07
 22650.000	  -41.07
 22650.000	  -39.76
 22700.000	  -39.76
 22700.000	  -41.92
 22750.000	  -41.92
 22750.000	  -43.46
 22800.000	  -43.46
 22800.000	  -42.00
 22850.000	  -42.00
 22850.000	  -43.68
 22900.000	  -43.68
 22900.000	  -43.61
 22950.000	  -43.61
 22950.000	  -43.77
 23000.000	  -43.77
 23000.000	  -43.67
 23050.000	  -43.67
 23050.000	  -44.07
 23100.000	  -44.07
 23100.000	  -43.12
 23150.000	  -43.12
 23150.000	  -43.72
 23200.000	  -43.72
 23200.000	  -44.19
 23250.000	  -44.19
 23250.000	  -43.53
 23300.000	  -43.53
 23300.000	  -43.57
 23350.000	  -43.57
 23350.000	  -42.65
 23400.000	  -42.65
 23400.000	  -43.14
 23450.000	  -43.14
 23450.000	  -43.74
 23500.000	  -43.74
 23500.000	  -43.55
 23550.000	  -43.55
 23550.000	  -43.82
 23600.000	  -43.82
 23600.000	  -44.32
 23650.000	  -44.32
 23650.000	  -43.80
 23700.000	  -43.80
 23700.000	  -42.62
 23750.000	  -42.62
 23750.000	  -43.54
 23800.000	  -43.54
 23800.000	  -43.41
 23850.000	  -43.41
 23850.000	  -43.50
 23900.000	  -43.50
 23900.000	  -43.20
 23950.000	  -43.20
 23950.000	  -42.70
 24000.000	  -42.70
 24000.000	  -43.60
 24050.000	  -43.60
 24050.000	  -44.23
 24100.000	  -44.23
 24100.000	  -43.04
 24150.000	  -43.04
 24150.000	  -43.84
 24200.000	  -43.84
 24200.000	  -44.06
 24250.000	  -44.06
 24250.000	  -43.89
 24300.000	  -43.89
 24300.000	  -44.49
 24350.000	  -44.49
 24350.000	  -42.67
 24400.000	  -42.67
 24400.000	  -42.74
 24450.000	  -42.74
 24450.000	  -43.43
 24500.000	  -43.43
 24500.000	  -44.21
 24550.000	  -44.21
 24550.000	  -43.39
 24600.000	  -43.39
 24600.000	  -42.79
 24650.000	  -42.79
 24650.000	  -44.00
 24700.000	  -44.00
 24700.000	  -43.45
 24750.000	  -43.45
 24750.000	  -42.93
 24800.000	  -42.93
 24800.000	  -44.13
 24850.000	  -44.13
 24850.000	  -44.86
 24900.000	  -44.86
 24900.000	  -42.36
 24950.000	  -42.36
 24950.000	  -43.39
 25000.000	  -43.39
 25000.000	  -43.44
 25050.000	  -43.44
 25050.000	  -44.56
 25100.000	  -44.56
 25100.000	  -44.76
 25150.000	  -44.76
 25150.000	  -44.18
 25200.000	  -44.18
 25200.000	  -43.73
 25250.000	  -43.73
 25250.000	  -44.76
 25300.000	  -44.76
 25300.000	  -44.37
 25350.000	  -44.37
 25350.000	  -43.45
 25400.000	  -43.45
 25400.000	  -43.45
 25450.000	  -43.45
 25450.000	  -44.76
 25500.000	  -44.76
 25500.000	  -42.46
 25550.000	  -42.46
 25550.000	  -43.24
 25600.000	  -43.24
 25600.000	  -42.27
 25650.000	  -42.27
 25650.000	  -42.76
 25700.000	  -42.76
 25700.000	  -43.18
 25750.000	  -43.18
 25750.000	  -42.79
 25800.000	  -42.79
 25800.000	  -42.67
 25850.000	  -42.67
 25850.000	  -42.44
 25900.000	  -42.44
 25900.000	  -42.94
 25950.000	  -42.94
 25950.000	  -43.79
 26000.000	  -43.79
 26000.000	  -45.62
 26050.000	  -45.62
 26050.000	  -44.40
 26100.000	  -44.40
 26100.000	  -43.54
 26150.000	  -43.54
 26150.000	  -43.17
 26200.000	  -43.17
 26200.000	  -43.36
 26250.000	  -43.36
 26250.000	  -44.16
 26300.000	  -44.16
 26300.000	  -44.07
 26350.000	  -44.07
 26350.000	  -43.23
 26400.000	  -43.23
 26400.000	  -43.91
 26450.000	  -43.91
 26450.000	  -43.47
 26500.000	  -43.47
 26500.000	  -42.54
 26550.000	  -42.54
 26550.000	  -43.97
 26600.000	  -43.97
 26600.000	  -43.97
 26650.000	  -43.97
 26650.000	  -42.36
 26700.000	  -42.36
 26700.000	  -42.63
 26750.000	  -42.63
 26750.000	  -43.45
 26800.000	  -43.45
 26800.000	  -43.35
 26850.000	  -43.35
 26850.000	  -43.08
 26900.000	  -43.08
 26900.000	  -44.06
 26950.000	  -44.06
 26950.000	  -44.40
 27000.000	  -44.40
 27000.000	  -44.58
 27050.000	  -44.58
 27050.000	  -43.61
 27100.000	  -43.61
 27100.000	  -43.03
 27150.000	  -43.03
 27150.000	  -41.42
 27200.000	  -41.42
 27200.000	  -40.72
 27250.000	  -40.72
 27250.000	  -39.62
 27300.000	  -39.62
 27300.000	  -39.40
 27350.000	  -39.40
 27350.000	  -38.37
 27400.000	  -38.37
 27400.000	  -43.20
 27450.000	  -43.20
